ID,pmid,Dataset,label
122,4454486,tba,Not Relevant
123,4459031,tba,Not Relevant
124,4464801,tba,Not Relevant
125,4556633,tba,Not Relevant
126,4575719,tba,Not Relevant
127,4656179,tba,Not Relevant
128,4694690,tba,Relevant
129,4780659,tba,Not Relevant
130,4797550,tba,Not Relevant
131,4824906,tba,Not Relevant
132,4842138,tba,Not Relevant
133,4878890,tba,Not Relevant
134,4950232,tba,Not Relevant
135,5423102,tba,Not Relevant
136,5424261,tba,Not Relevant
137,5430002,tba,Not Relevant
138,5446743,tba,Not Relevant
139,5451685,tba,Not Relevant
140,5488769,tba,Not Relevant
141,5514162,tba,Not Relevant
142,5535185,tba,Relevant
143,5618585,tba,Not Relevant
144,5675849,tba,Not Relevant
145,5783568,tba,Not Relevant
146,5822248,tba,Not Relevant
147,5881338,tba,Not Relevant
148,5995194,tba,Not Relevant
149,6085263,tba,Not Relevant
150,6086693,tba,Not Relevant
151,6110742,tba,Not Relevant
152,6120218,tba,Not Relevant
153,6124402,tba,Not Relevant
154,6204966,tba,Not Relevant
155,6210187,tba,Not Relevant
156,6234265,tba,Not Relevant
157,6331150,tba,Not Relevant
158,6371930,tba,Not Relevant
159,6402672,tba,Not Relevant
160,6415082,tba,Not Relevant
161,6462111,tba,Not Relevant
162,6505289,tba,Not Relevant
163,6513967,tba,Not Relevant
164,6539198,tba,Not Relevant
165,6613163,tba,Not Relevant
166,6629664,tba,Not Relevant
167,6636167,tba,Not Relevant
168,6662978,tba,Relevant
169,6687852,tba,Not Relevant
170,6704556,tba,Not Relevant
171,6733008,tba,Relevant
172,6751129,tba,Not Relevant
173,6752084,tba,Not Relevant
174,6764164,tba,Not Relevant
175,6764387,tba,Not Relevant
176,6772607,tba,Not Relevant
177,6777691,tba,Not Relevant
178,6810768,tba,Not Relevant
179,6820912,tba,Not Relevant
180,6844336,tba,Not Relevant
181,6894697,tba,Relevant
182,6909512,tba,Not Relevant
183,6990755,tba,Not Relevant
184,7022206,tba,Not Relevant
185,7028663,tba,Not Relevant
186,7032560,tba,Relevant
187,7042172,tba,Not Relevant
188,7060462,tba,Not Relevant
189,7080033,tba,Not Relevant
190,7120117,tba,Relevant
191,7127389,tba,Relevant
192,7198444,tba,Not Relevant
193,7203002,tba,Not Relevant
194,7211006,tba,Not Relevant
195,7215362,tba,Not Relevant
196,7223286,tba,Not Relevant
197,7264629,tba,Not Relevant
198,7274056,tba,Relevant
199,7284028,tba,Not Relevant
200,7284624,tba,Not Relevant
201,7285987,tba,Not Relevant
202,7302947,tba,Not Relevant
203,7406042,tba,Not Relevant
204,7412556,tba,Not Relevant
205,7413726,tba,Not Relevant
206,7415217,tba,Not Relevant
207,7415484,tba,Not Relevant
208,7430614,tba,Not Relevant
209,7462691,tba,Relevant
210,7479551,tba,Not Relevant
211,7489992,tba,Not Relevant
212,7491272,tba,Not Relevant
213,7506426,tba,Not Relevant
214,7539062,tba,Not Relevant
215,7543657,tba,Not Relevant
216,7550137,tba,Not Relevant
217,7551175,tba,Not Relevant
218,7553336,tba,Not Relevant
219,7578645,tba,Not Relevant
220,7581552,tba,Not Relevant
221,7591582,tba,Not Relevant
222,7597909,tba,Relevant
223,7611820,tba,Not Relevant
224,7622812,tba,Not Relevant
225,7627246,tba,Relevant
226,7630844,tba,Not Relevant
227,7662598,tba,Relevant
228,7674566,tba,Relevant
229,7720515,tba,Relevant
230,7747269,tba,Relevant
231,7830253,tba,Not Relevant
232,7889861,tba,Not Relevant
233,7907873,tba,Relevant
234,7927862,tba,Not Relevant
235,7936261,tba,Not Relevant
236,7937523,tba,Relevant
237,7945705,tba,Relevant
238,7970444,tba,Relevant
239,7971714,tba,Not Relevant
240,7996320,tba,Not Relevant
241,8004155,tba,Not Relevant
242,8030508,tba,Not Relevant
243,8068500,tba,Relevant
244,8073537,tba,Not Relevant
245,8217358,tba,Relevant
246,8225127,tba,Relevant
247,8233233,tba,Not Relevant
248,8237055,tba,Not Relevant
249,8241014,tba,Not Relevant
250,8249080,tba,Relevant
251,8277372,tba,Not Relevant
252,8317646,tba,Not Relevant
253,8321842,tba,Relevant
254,8327652,tba,Not Relevant
255,8337895,tba,Not Relevant
256,8377589,tba,Not Relevant
257,8396097,tba,Relevant
258,8408401,tba,Relevant
259,8445036,tba,Not Relevant
260,8448274,tba,Not Relevant
261,8458882,tba,Relevant
262,8489718,tba,Not Relevant
263,8491239,tba,Relevant
264,8573639,tba,Not Relevant
265,8573686,tba,Relevant
266,8600613,tba,Not Relevant
267,8638848,tba,Not Relevant
268,8640342,tba,Not Relevant
269,8646995,tba,Not Relevant
270,8702478,tba,Not Relevant
271,8737123,tba,Not Relevant
272,8778386,tba,Not Relevant
273,8801066,tba,Relevant
274,8808777,tba,Not Relevant
275,8868029,tba,Relevant
276,8877292,tba,Not Relevant
277,8884882,tba,Not Relevant
278,8897139,tba,Not Relevant
279,8946952,tba,Not Relevant
280,8950046,tba,Not Relevant
281,8997494,tba,Not Relevant
282,9020502,tba,Not Relevant
283,9079289,tba,Not Relevant
284,9121813,tba,Not Relevant
285,9128021,tba,Not Relevant
286,9144737,tba,Not Relevant
287,9147125,tba,Not Relevant
288,9184195,tba,Not Relevant
289,9202078,tba,Not Relevant
290,9214677,tba,Not Relevant
291,9233505,tba,Not Relevant
292,9290071,tba,Not Relevant
293,9353142,tba,Not Relevant
294,9372622,tba,Relevant
295,9402309,tba,Relevant
296,9406691,tba,Not Relevant
297,9408226,tba,Not Relevant
298,9435990,tba,Not Relevant
299,9450176,tba,Not Relevant
300,9532603,tba,Not Relevant
301,9537667,tba,Not Relevant
302,9544547,tba,Not Relevant
303,9549636,tba,Relevant
304,9575559,tba,Not Relevant
305,9600719,tba,Not Relevant
306,9608824,tba,Relevant
307,9626921,tba,Relevant
308,9672759,tba,Not Relevant
309,9676823,tba,Not Relevant
310,9729342,tba,Not Relevant
311,9753206,tba,Relevant
312,9764334,tba,Relevant
313,9806994,tba,Not Relevant
314,9811504,tba,Not Relevant
315,9840344,tba,Relevant
316,9855315,tba,Not Relevant
317,9875639,tba,Not Relevant
318,9885296,tba,Not Relevant
319,9950880,tba,Not Relevant
320,10101855,tba,Not Relevant
321,10149779,tba,Not Relevant
322,10217338,tba,Not Relevant
323,10346420,tba,Not Relevant
324,10395298,tba,Not Relevant
325,10476380,tba,Not Relevant
326,10510150,tba,Relevant
327,10534818,tba,Not Relevant
328,10552083,tba,Not Relevant
329,10564155,tba,Not Relevant
330,10567556,tba,Not Relevant
331,10584271,tba,Not Relevant
332,10590192,tba,Not Relevant
333,10613925,tba,Relevant
334,10641221,tba,Not Relevant
335,10654114,tba,Not Relevant
336,10667393,tba,Not Relevant
337,10680168,tba,Not Relevant
338,10688207,tba,Not Relevant
339,10690162,tba,Not Relevant
340,10698008,tba,Not Relevant
341,10706091,tba,Relevant
342,10709801,tba,Not Relevant
343,10750293,tba,Not Relevant
344,10754274,tba,Not Relevant
345,10777574,tba,Not Relevant
346,10840686,tba,Not Relevant
347,10846013,tba,Not Relevant
348,10856681,tba,Relevant
349,10891870,tba,Not Relevant
350,10898086,tba,Not Relevant
351,10908295,tba,Not Relevant
352,10945163,tba,Not Relevant
353,10960139,tba,Not Relevant
354,10968205,tba,Not Relevant
355,10976514,tba,Not Relevant
356,10985229,tba,Not Relevant
357,10990202,tba,Not Relevant
358,10993198,tba,Relevant
359,11069616,tba,Not Relevant
360,11103749,tba,Relevant
361,11144234,tba,Not Relevant
362,11169171,tba,Relevant
363,11181353,tba,Not Relevant
364,11201249,tba,Not Relevant
365,11237772,tba,Not Relevant
366,11248761,tba,Not Relevant
367,11248990,tba,Not Relevant
368,11272106,tba,Not Relevant
369,11288130,tba,Not Relevant
370,11330555,tba,Not Relevant
371,11336649,tba,Not Relevant
372,11350783,tba,Not Relevant
373,11372879,tba,Relevant
374,11373759,tba,Not Relevant
375,11395020,tba,Not Relevant
376,11415461,tba,Not Relevant
377,11418938,tba,Not Relevant
378,11437465,tba,Not Relevant
379,11451042,tba,Not Relevant
380,11467079,tba,Not Relevant
381,11467747,tba,Not Relevant
382,11477331,tba,Not Relevant
383,11487658,tba,Not Relevant
384,11496065,tba,Not Relevant
385,11505369,tba,Not Relevant
386,11543780,tba,Not Relevant
387,11549049,tba,Relevant
388,11563419,tba,Not Relevant
389,11564429,tba,Not Relevant
390,11733088,tba,Not Relevant
391,11739594,tba,Not Relevant
392,11745752,tba,Not Relevant
393,11764179,tba,Not Relevant
394,11796742,tba,Not Relevant
395,11817313,tba,Relevant
396,11829671,tba,Not Relevant
397,11842079,tba,Not Relevant
398,11843744,tba,Not Relevant
399,11850287,tba,Not Relevant
400,11857704,tba,Not Relevant
401,11866441,tba,Not Relevant
402,11875716,tba,Not Relevant
403,11891467,tba,Not Relevant
404,11891565,tba,Not Relevant
405,11933029,tba,Relevant
406,11934243,tba,Not Relevant
407,11948003,tba,Relevant
408,11951941,tba,Not Relevant
409,11951988,tba,Not Relevant
410,11956161,tba,Not Relevant
411,11967728,tba,Not Relevant
412,11990780,tba,Not Relevant
413,11992685,tba,Not Relevant
414,12009421,tba,Not Relevant
415,12183439,tba,Not Relevant
416,12215889,tba,Not Relevant
417,12386131,tba,Relevant
418,12393599,tba,Not Relevant
419,12396867,tba,Not Relevant
420,12411841,tba,Not Relevant
421,12426237,tba,Not Relevant
422,12434199,tba,Not Relevant
423,12445561,tba,Not Relevant
424,12469829,tba,Not Relevant
425,12488482,tba,Relevant
426,12568766,tba,Not Relevant
427,12576410,tba,Not Relevant
428,12579765,tba,Relevant
429,12591350,tba,Not Relevant
430,12611323,tba,Not Relevant
431,12627859,tba,Relevant
432,12670758,tba,Not Relevant
433,12677874,tba,Not Relevant
434,12694866,tba,Not Relevant
435,12706048,tba,Not Relevant
436,12720413,tba,Relevant
437,12725443,tba,Not Relevant
438,12736110,tba,Relevant
439,12744364,tba,Not Relevant
440,12746875,tba,Not Relevant
441,12759895,tba,Relevant
442,12796032,tba,Relevant
443,12797496,tba,Not Relevant
444,12798758,tba,Not Relevant
445,12798972,tba,Not Relevant
446,12814476,tba,Not Relevant
447,12824645,tba,Not Relevant
448,12843216,tba,Not Relevant
449,12855021,tba,Not Relevant
450,12881198,tba,Not Relevant
451,12884333,tba,Not Relevant
452,12897252,tba,Not Relevant
453,12900817,tba,Relevant
454,12908848,tba,Not Relevant
455,12934674,tba,Not Relevant
456,12975333,tba,Not Relevant
457,13747637,tba,Not Relevant
458,13968220,tba,Not Relevant
459,14509713,tba,Not Relevant
460,14526937,tba,Not Relevant
461,14527832,tba,Not Relevant
462,14529538,tba,Not Relevant
463,14551375,tba,Relevant
464,14635181,tba,Not Relevant
465,14651035,tba,Not Relevant
466,14655189,tba,Not Relevant
467,14686717,tba,Not Relevant
468,14703949,tba,Not Relevant
469,14726131,tba,Relevant
470,15005300,tba,Not Relevant
471,15015879,tba,Not Relevant
472,15064917,tba,Not Relevant
473,15113584,tba,Relevant
474,15118262,tba,Not Relevant
475,15128505,tba,Not Relevant
476,15149182,tba,Not Relevant
477,15163205,tba,Not Relevant
478,15181141,tba,Not Relevant
479,15195102,tba,Not Relevant
480,15224411,tba,Not Relevant
481,15252046,tba,Not Relevant
482,15253652,tba,Not Relevant
483,15254833,tba,Not Relevant
484,15292049,tba,Not Relevant
485,15315767,tba,Not Relevant
486,15356235,tba,Not Relevant
487,15369761,tba,Not Relevant
488,15388441,tba,Relevant
489,15479952,tba,Not Relevant
490,15499498,tba,Not Relevant
491,15511563,tba,Not Relevant
492,15541439,tba,Not Relevant
493,15567978,tba,Not Relevant
494,15575621,tba,Not Relevant
495,15618198,tba,Not Relevant
496,15625935,tba,Not Relevant
497,15666041,tba,Not Relevant
498,15695787,tba,Not Relevant
499,15707981,tba,Not Relevant
500,15747152,tba,Not Relevant
501,15768513,tba,Not Relevant
502,15799627,tba,Not Relevant
503,15802882,tba,Not Relevant
504,15852681,tba,Not Relevant
505,15878229,tba,Not Relevant
506,15901744,tba,Relevant
507,15912525,tba,Not Relevant
508,15973685,tba,Not Relevant
509,15979830,tba,Not Relevant
510,16036859,tba,Not Relevant
511,16100236,tba,Relevant
512,16105610,tba,Not Relevant
513,16124404,tba,Not Relevant
514,16141604,tba,Relevant
515,16154040,tba,Not Relevant
516,16180789,tba,Not Relevant
517,16193536,tba,Not Relevant
518,16199684,tba,Not Relevant
519,16201532,tba,Not Relevant
520,16222443,tba,Relevant
521,16251124,tba,Not Relevant
522,16270632,tba,Not Relevant
523,16359479,tba,Not Relevant
524,16365311,tba,Not Relevant
525,16374585,tba,Not Relevant
526,16396841,tba,Not Relevant
527,16428497,tba,Relevant
528,16436328,tba,Not Relevant
529,16470118,tba,Not Relevant
530,16483871,tba,Not Relevant
531,16485454,tba,Not Relevant
532,16533506,tba,Not Relevant
533,16580642,tba,Not Relevant
534,16601807,tba,Not Relevant
535,16612035,tba,Not Relevant
536,16622675,tba,Not Relevant
537,16625029,tba,Not Relevant
538,16650391,tba,Not Relevant
539,16682327,tba,Not Relevant
540,16684712,tba,Relevant
541,16725243,tba,Not Relevant
542,16737587,tba,Not Relevant
543,16755128,tba,Not Relevant
544,16759110,tba,Not Relevant
545,16763718,tba,Not Relevant
546,16778212,tba,Not Relevant
547,16798105,tba,Not Relevant
548,16809800,tba,Relevant
549,16848275,tba,Not Relevant
550,16863462,tba,Not Relevant
551,16871060,tba,Not Relevant
552,16883559,tba,Relevant
553,16891160,tba,Relevant
554,16896303,tba,Not Relevant
555,16965146,tba,Not Relevant
556,16990504,tba,Not Relevant
557,17021761,tba,Not Relevant
558,17025353,tba,Not Relevant
559,17090396,tba,Relevant
560,17093398,tba,Not Relevant
561,17130974,tba,Not Relevant
562,17133275,tba,Not Relevant
563,17163266,tba,Relevant
564,17164373,tba,Relevant
565,17192501,tba,Relevant
566,17204409,tba,Not Relevant
567,17269457,tba,Not Relevant
568,17337085,tba,Not Relevant
569,17339873,tba,Not Relevant
570,17386978,tba,Not Relevant
571,17418900,tba,Not Relevant
572,17488782,tba,Relevant
573,17518507,tba,Not Relevant
574,17562144,tba,Not Relevant
575,17576826,tba,Relevant
576,17596650,tba,Not Relevant
577,17631423,tba,Not Relevant
578,17661678,tba,Not Relevant
579,17709251,tba,Not Relevant
580,17721779,tba,Not Relevant
581,17875190,tba,Relevant
582,17877438,tba,Not Relevant
583,17885736,tba,Relevant
584,17900948,tba,Relevant
585,17954177,tba,Not Relevant
586,17977676,tba,Not Relevant
587,17988777,tba,Not Relevant
588,18002320,tba,Not Relevant
589,18044180,tba,Not Relevant
590,18071957,tba,Not Relevant
591,18178333,tba,Not Relevant
592,18242914,tba,Not Relevant
593,18279106,tba,Relevant
594,18289614,tba,Not Relevant
595,18307502,tba,Relevant
596,18319188,tba,Not Relevant
597,18332796,tba,Not Relevant
598,18367789,tba,Not Relevant
599,18372722,tba,Relevant
600,18416470,tba,Relevant
601,18430202,tba,Relevant
602,18435628,tba,Not Relevant
603,18451780,tba,Not Relevant
604,18463625,tba,Not Relevant
605,18467078,tba,Relevant
606,18483382,tba,Relevant
607,18504956,tba,Not Relevant
608,18605671,tba,Not Relevant
609,18632811,tba,Not Relevant
610,18644198,tba,Not Relevant
611,18713511,tba,Relevant
612,18754478,tba,Not Relevant
613,18773122,tba,Not Relevant
614,18939578,tba,Not Relevant
615,18958401,tba,Not Relevant
616,18976844,tba,Not Relevant
617,18990146,tba,Not Relevant
618,19011858,tba,Relevant
619,19032726,tba,Relevant
620,19051337,tba,Not Relevant
621,19053985,tba,Not Relevant
622,19058832,tba,Not Relevant
623,19075501,tba,Not Relevant
624,19115313,tba,Not Relevant
625,19154107,tba,Not Relevant
626,19156669,tba,Relevant
627,19157514,tba,Not Relevant
628,19209525,tba,Not Relevant
629,19229380,tba,Relevant
630,19235379,tba,Not Relevant
631,19366879,tba,Not Relevant
632,19371619,tba,Not Relevant
633,19374511,tba,Not Relevant
634,19418271,tba,Relevant
635,19421041,tba,Not Relevant
636,19428348,tba,Not Relevant
637,19449194,tba,Relevant
638,19462966,tba,Not Relevant
639,19549303,tba,Not Relevant
640,19610038,tba,Not Relevant
641,19637952,tba,Not Relevant
642,19639240,tba,Not Relevant
643,19672409,tba,Not Relevant
644,19694745,tba,Not Relevant
645,19707043,tba,Not Relevant
646,19771879,tba,Not Relevant
647,19819623,tba,Not Relevant
648,19821348,tba,Not Relevant
649,19825011,tba,Relevant
650,19854080,tba,Relevant
651,19934030,tba,Not Relevant
652,19949929,tba,Not Relevant
653,19951733,tba,Not Relevant
654,19995926,tba,Relevant
655,20065597,tba,Not Relevant
656,20125740,tba,Not Relevant
657,20165896,tba,Not Relevant
658,20199131,tba,Not Relevant
659,20207056,tba,Not Relevant
660,20214592,tba,Not Relevant
661,20232903,tba,Not Relevant
662,20381112,tba,Not Relevant
663,20406307,tba,Not Relevant
664,20408309,tba,Not Relevant
665,20471831,tba,Not Relevant
666,20555328,tba,Not Relevant
667,20605296,tba,Not Relevant
668,20632009,tba,Not Relevant
669,20705615,tba,Relevant
670,20708933,tba,Not Relevant
671,20807961,tba,Not Relevant
672,20837299,tba,Relevant
673,20850524,tba,Not Relevant
674,20947070,tba,Not Relevant
675,21042038,tba,Relevant
676,21056810,tba,Not Relevant
677,21062740,tba,Not Relevant
678,21083005,tba,Not Relevant
679,21118722,tba,Not Relevant
680,21169406,tba,Not Relevant
681,21185160,tba,Not Relevant
682,21254453,tba,Not Relevant
683,21269291,tba,Relevant
684,21276131,tba,Not Relevant
685,21300760,tba,Relevant
686,21393427,tba,Relevant
687,21473839,tba,Not Relevant
688,21473915,tba,Not Relevant
689,21504318,tba,Not Relevant
690,21519214,tba,Not Relevant
691,21601538,tba,Relevant
692,21613232,tba,Relevant
693,21629963,tba,Not Relevant
694,21640175,tba,Not Relevant
695,21647791,tba,Not Relevant
696,21660618,tba,Relevant
697,21793674,tba,Not Relevant
698,21835019,tba,Not Relevant
699,21864403,tba,Not Relevant
700,21870836,tba,Not Relevant
701,21890174,tba,Not Relevant
702,21976976,tba,Not Relevant
703,21993434,tba,Not Relevant
704,22008148,tba,Relevant
705,22076108,tba,Not Relevant
706,22098224,tba,Relevant
707,22105588,tba,Relevant
708,22137964,tba,Not Relevant
709,22152281,tba,Not Relevant
710,22165231,tba,Not Relevant
711,22242687,tba,Relevant
712,22275232,tba,Relevant
713,22286919,tba,Relevant
714,22322899,tba,Not Relevant
715,22351681,tba,Not Relevant
716,22369198,tba,Relevant
717,22374220,tba,Not Relevant
718,22384452,tba,Not Relevant
719,22471142,tba,Not Relevant
720,22472987,tba,Not Relevant
721,22515556,tba,Relevant
722,22517604,tba,Not Relevant
723,22525722,tba,Not Relevant
724,22564835,tba,Relevant
725,22612142,tba,Not Relevant
726,22627223,tba,Not Relevant
727,22634072,tba,Relevant
728,22644862,tba,Relevant
729,22689635,tba,Not Relevant
730,22691291,tba,Not Relevant
731,22719975,tba,Not Relevant
732,22735367,tba,Not Relevant
733,22757747,tba,Relevant
734,22777686,tba,Relevant
735,22809244,tba,Not Relevant
736,22825127,tba,Not Relevant
737,22846044,tba,Not Relevant
738,22851017,tba,Not Relevant
739,22928893,tba,Not Relevant
740,22967225,tba,Not Relevant
741,22967673,tba,Not Relevant
742,22976316,tba,Relevant
743,22991010,tba,Not Relevant
744,23067100,tba,Relevant
745,23083550,tba,Not Relevant
746,23136718,tba,Not Relevant
747,23151050,tba,Not Relevant
748,23176177,tba,Not Relevant
749,23194237,tba,Not Relevant
750,23234150,tba,Relevant
751,23264808,tba,Not Relevant
752,23286178,tba,Not Relevant
753,23303328,tba,Not Relevant
754,23345165,tba,Not Relevant
755,23364264,tba,Not Relevant
756,23420517,tba,Relevant
757,23436680,tba,Not Relevant
758,23461861,tba,Relevant
759,23462389,tba,Not Relevant
760,23477032,tba,Not Relevant
761,23551201,tba,Not Relevant
762,23627705,tba,Not Relevant
763,23675922,tba,Not Relevant
764,23709417,tba,Not Relevant
765,23793696,tba,Relevant
766,23798336,tba,Not Relevant
767,23806607,tba,Not Relevant
768,23807084,tba,Relevant
769,23817346,tba,Relevant
770,23841569,tba,Not Relevant
771,23890237,tba,Not Relevant
772,23994015,tba,Not Relevant
773,24026769,tba,Not Relevant
774,24038512,tba,Not Relevant
775,24051388,tba,Not Relevant
776,24166457,tba,Not Relevant
777,24176185,tba,Not Relevant
778,24202174,tba,Not Relevant
779,24218906,tba,Not Relevant
780,24227626,tba,Not Relevant
781,24229567,tba,Not Relevant
782,24266509,tba,Not Relevant
783,24267726,tba,Not Relevant
784,24301684,tba,Not Relevant
785,24387603,tba,Not Relevant
786,24440429,tba,Not Relevant
787,24443292,tba,Not Relevant
788,24517989,tba,Not Relevant
789,24522565,tba,Not Relevant
790,24547403,tba,Not Relevant
791,24556757,tba,Not Relevant
792,24574331,tba,Not Relevant
793,24598005,tba,Not Relevant
794,24605425,tba,Relevant
795,24616265,tba,Relevant
796,24670100,tba,Not Relevant
797,24691872,tba,Not Relevant
798,24698009,tba,Relevant
799,24707870,tba,Relevant
800,24799699,tba,Not Relevant
801,24825764,tba,Not Relevant
802,24866515,tba,Not Relevant
803,24870363,tba,Not Relevant
804,24880085,tba,Not Relevant
805,24917580,tba,Relevant
806,24932357,tba,Not Relevant
807,24956867,tba,Not Relevant
808,24977292,tba,Relevant
809,24984690,tba,Not Relevant
810,25008056,tba,Not Relevant
811,25011215,tba,Not Relevant
812,25015887,tba,Not Relevant
813,25036017,tba,Not Relevant
814,25036018,tba,Not Relevant
815,25051056,tba,Not Relevant
816,25066628,tba,Relevant
817,25113226,tba,Not Relevant
818,25117078,tba,Not Relevant
819,25118088,tba,Not Relevant
820,25123454,tba,Not Relevant
821,25148065,tba,Not Relevant
822,25159818,tba,Not Relevant
823,25265308,tba,Not Relevant
824,25271172,tba,Relevant
825,25325240,tba,Not Relevant
826,25339160,tba,Not Relevant
827,25380542,tba,Not Relevant
828,25402233,tba,Relevant
829,25408310,tba,Relevant
830,25412253,tba,Not Relevant
831,25416718,tba,Not Relevant
832,25425114,tba,Not Relevant
833,25462312,tba,Not Relevant
834,25477145,tba,Not Relevant
835,25560290,tba,Not Relevant
836,25619919,tba,Not Relevant
837,25655423,tba,Not Relevant
838,25655506,tba,Relevant
839,25673154,tba,Not Relevant
840,25697809,tba,Not Relevant
841,25711339,tba,Not Relevant
842,25726757,tba,Not Relevant
843,25743677,tba,Not Relevant
844,25746014,tba,Not Relevant
845,25774580,tba,Not Relevant
846,25824561,tba,Not Relevant
847,25891783,tba,Not Relevant
848,25948873,tba,Not Relevant
849,25963997,tba,Relevant
850,25965455,tba,Not Relevant
851,25971726,tba,Not Relevant
852,25997662,tba,Not Relevant
853,26021325,tba,Not Relevant
854,26081853,tba,Not Relevant
855,26134060,tba,Not Relevant
856,26222220,tba,Not Relevant
857,26237308,tba,Not Relevant
858,26296292,tba,Not Relevant
859,26304171,tba,Relevant
860,26304335,tba,Not Relevant
861,26304930,tba,Not Relevant
862,26349224,tba,Not Relevant
863,26361143,tba,Not Relevant
864,26377413,tba,Not Relevant
865,26440598,tba,Relevant
866,26450460,tba,Not Relevant
867,26473552,tba,Not Relevant
868,26513505,tba,Relevant
869,26517139,tba,Not Relevant
870,26543366,tba,Relevant
871,26547309,tba,Not Relevant
872,26551921,tba,Relevant
873,26626946,tba,Not Relevant
874,26658763,tba,Not Relevant
875,26678615,tba,Not Relevant
876,26689795,tba,Not Relevant
877,26736268,tba,Not Relevant
878,26753602,tba,Not Relevant
879,26762283,tba,Not Relevant
880,26792373,tba,Relevant
881,26796886,tba,Not Relevant
882,26803007,tba,Not Relevant
883,26873366,tba,Not Relevant
884,26873495,tba,Not Relevant
885,26915709,tba,Not Relevant
886,27028535,tba,Not Relevant
887,27046157,tba,Not Relevant
888,27072431,tba,Relevant
889,27088191,tba,Not Relevant
890,27111148,tba,Not Relevant
891,27114047,tba,Not Relevant
892,27128837,tba,Relevant
893,27132188,tba,Not Relevant
894,27133481,tba,Relevant
895,27135819,tba,Not Relevant
896,27185808,tba,Relevant
